"Type","Ven Nbr","Vendor Address                               ","Remit to                                     ","Contact Info                                 ","Terms","Last PO","Last Payment"
"","","101 SOUTH MCCALL RD                          ","                                             ","sales@millikendistribution.com               ","","11/15/13","11/12/12"
"","","ENGLEWOOD, FL 34223                          ","                                             ","Ph : 800-255-0094                            ","","","133.99"
"","","                                             ","                                             ","Fax: 941-475-9840                            ","","",""
"","1041","WORLD SIGN ASSOCIATES - LOCAL                ","WSA DIVISION 6                               ","                                             ","NET 30 DAYS","","Ck #1041"
"","","PRIDE NEON INC                               ","PRIDE NEON INC                               ","                                             ","","","1/28/25"
"","","3010 W 10TH ST                               ","3010 W 10TH ST                               ","                                             ","","","500.00"
"","","SIOUX FALLS, SD 57104                        ","SIOUX FALLS, SD 57104                        ","                                             ","","",""
"","1042","CITY OF PELLA                                ","SAME                                         ","GEORGE WESSELHOFT, AICP                      ","NET 30 DAYS","","Ck #19689"
"","","PLANNING & ZONING                            ","                                             ","Ph : 641-628-1601                            ","","","8/22/19"
"","","100 TRUMAN RD                                ","                                             ","Fax: 641-628-1620                            ","","","15.00"
"","","PELLA, IA 50219                              ","                                             ","                                             ","","",""
"","1043","CITY OF GRINNELL                             ","SAME                                         ","KATHY RILEY                                  ","NET 30 DAYS","","Ck #21202"
"","","520 4TH AVE                                  ","                                             ","                                             ","","","11/16/20"
"","","GRINNELL, IA 50112                           ","                                             ","                                             ","","","129.52"
"","1045","BRUMMEL MADSEN INSURANCE                     ","SAME                                         ","Ph : 319 266 2644                            ","NET 30 DAYS","24136","Ck #1045"
"","","PO BOX 1863                                  ","                                             ","Fax: 319 277 2429                            ","","8/28/24","8/29/24"
"","","CEDAR RAPPIDS, IA 52406                      ","                                             ","                                             ","","","934.00"
"","1046","MAID-RITE                                    ","MAID-RITE CORPORATION                        ","                                             ","NET 30 DAYS","","Ck #1046"
"","","304 N MAIN ST STE C                          ","2951 86TH ST                                 ","                                             ","","","8/10/07"
"","","NORMAL, IL 61761                             ","DES MOINES, IA 50322                         ","                                             ","","","886.34"
"","1047","SUBURBAN ELECTRIC                            ","SAME                                         ","SARA GENSKE                                  ","1% 10th of month net eom","1425","Ck #1047"
"","","709 HICKORY FARM LANE                        ","                                             ","Ph : 920 739 5156                            ","","7/31/07","9/25/07"
"","","APPLETON, WI 54914                           ","                                             ","Fax: 920 739 4767                            ","","","445.72"
"","1048","MAID-RITE                                    ","MAID-RITE CORPORATION                        ","Ph : 712-762-3909                            ","NET 30 DAYS","","Ck #1048"
"","","JEFFREY J. BUER                              ","JAMES VILMAN                                 ","                                             ","","","8/10/07"
"","","3404 N 156TH ST                              ","2951 86TH ST                                 ","                                             ","","","687.78"
"","","OMAHA, NE 68116                              ","DES MOINES, IA 50322                         ","                                             ","","",""
"","1049","MAID-RITE - TRIAD INC.                       ","MAID-RITE CORPORATION                        ","BRAD LAGER                                   ","NET 30 DAYS","","Ck #1049"
"","","BRAD LAGER                                   ","JAMES VILMAN                                 ","                                             ","","","9/25/07"
"","","2300 BERNADETTE DR                           ","2951 86TH ST                                 ","                                             ","","","215.60"
"","","COLUMBIA, MO 75203                           ","DES MOINES, IA 50322                         ","                                             ","","",""
"","1050","DENNIS KELLY                                 ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3060"
"","","709 HARRISON ST                              ","                                             ","                                             ","","","8/9/07"
"","","DALLAS, IA 50062                             ","                                             ","                                             ","","","700.78"
"","1051","CASH                                         ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #13516"
"","","EAGLE SIGN CO                                ","                                             ","                                             ","","7/9/13","3/3/15"
"","","605 SW 37TH ST.                              ","                                             ","                                             ","","","450.00"
"","","GRIMES, IA 50111                             ","                                             ","                                             ","","",""
"","1052","MHC KENWORTH - DES MOINES                    ","SAME                                         ","BRIAN                                        ","Net 30","13194","Ck #1052"
"","","4111 DELAWARE AVE                            ","                                             ","Ph : 800 247 7458                            ","","12/27/07","3/8/16"
"","","DES MOINES, IA 50313                         ","                                             ","Fax: 515 265 8836                            ","","","3,352.05"
"","1053","ADAM ERICSON                                 ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3061"
"","","1012 11TH AVE SE                             ","                                             ","                                             ","","","8/9/07"
"","","ALTOONA, IA 50009                            ","                                             ","                                             ","","","618.58"
"","1054","ERB'S                                        ","SAME                                         ","                                             ","NET 30 DAYS","11096","Ck #1054"
"","","4935 BOWLING ST. SW                          ","                                             ","                                             ","","8/5/11","8/28/14"
"","","CEDAR RAPIDS, IA 52404-5019                  ","                                             ","                                             ","","","351.06"
"","1057","CITY OF KNOXVILLE                            ","SAME                                         ","CINDY GLICK                                  ","NET 30 DAYS","","Ck #19902"
"","","305 S THIRD ST                               ","                                             ","                                             ","","","10/16/19"
"","","KNOXVILLE, IA 50138-2287                     ","                                             ","                                             ","","","60.00"
"","1060","LEMBERG ELECTRIC CO                          ","SAME                                         ","BOB STELL                                    ","NET 30 DAYS","1507","Ck #1060"
"","","4085 NORTH 128TH ST., STE. 100               ","                                             ","BStell@lembergelectric.com                   ","","8/21/07","9/25/07"
"","","BROOKFIELD, WI 53005                         ","                                             ","Ph : 262-781-1500                            ","","","972.48"
"","","                                             ","                                             ","Fax: 262-781-1540                            ","","",""
"","1061","SCHLOEDER ELECTRIC                           ","SAME                                         ","TIM SCHLOEDER                                ","1% 10th of month net eom","1518","Ck #1061"
"","","6608 GREGORY PARK RD S                       ","                                             ","Schloederelec@qwestoffice.net                ","","8/23/07","9/25/07"
"","","ST CLOUD, MN 56301                           ","                                             ","Ph : 320 240 6360                            ","","","420.00"
"","","                                             ","                                             ","Fax: 320 240 0800                            ","","",""
"","1062","CITY OF HUXLEY                               ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #11131"
"","","204 W 5TH ST.                                ","                                             ","                                             ","","","8/12/13"
"","","HUXLEY, IA 50124                             ","                                             ","                                             ","","","141.20"
"","1067","PETERSON ELECTRIC                            ","SAME                                         ","RODDY PETERSON                               ","1% 10th of month net eom","","Ck #1067"
"","","6 AIRPORT DR                                 ","                                             ","Ph : 712 338 2149                            ","","","9/18/07"
"","","MILFORD, IA 51351                            ","                                             ","Fax: 712 338 2149                            ","","","77.04"
"","1068","TRIANGLE SIGN & SERVICE                      ","SAME                                         ","HARRY CONNOLLY                               ","1% 10th of month net eom","4086","Ck #1068"
"","","11 AZAR COURT                                ","                                             ","Ph : 410-247-5300                            ","","9/17/09","12/28/09"
"","","P O BOX 24186                                ","                                             ","Fax: 410-247-1944                            ","","","1,370.96"
"","","BALTIMORE, MD 21227                          ","                                             ","                                             ","","",""
"","1069","GREASE MONKEY INTERNATIONAL                  ","SAME                                         ","JILL ROBBINS                                 ","NET 30 DAYS","",""
"","","7100 BELLEVIEW AVE                           ","                                             ","                                             ","","",""
"","","SUITE 30                                     ","                                             ","                                             ","","",""
"","","GREENWOOD VILLAGE, CO 80111                  ","                                             ","                                             ","","",""
"","1070","ERNIE MCCULLOUH                              ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #1070"
"","","BOWLARAMA LANES                              ","                                             ","                                             ","","","8/30/07"
"","","112 DEIHL                                    ","                                             ","                                             ","","","30.00"
"","","DES MOINES, IA 50315                         ","                                             ","                                             ","","",""
"","1071","CITY OF DAVENPORT                            ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #13251"
"","","226 W 4TH ST.                                ","                                             ","                                             ","","","12/18/14"
"","","DAVENPORT, IA 52801                          ","                                             ","                                             ","","","80.00"
"","1072","NORTHERN SAFETY CO., INC.                    ","SAME                                         ","customerservice@northernsafety.com           ","NET 30 DAYS","13644","Ck #1072"
"","","P. O. BOX 4250                               ","                                             ","Ph : 800-631-1246                            ","","6/9/16","7/11/16"
"","","UTICA, NY 13504-4250                         ","                                             ","Fax: 800-635-1591                            ","","","2,738.93"
"","1073","CITY OF FAIRFIELD                            ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3216"
"","","PO BOX 850                                   ","                                             ","                                             ","","","9/10/07"
"","","FAIRFIELD, IA 52556                          ","                                             ","                                             ","","","120.00"
"","1074","ALLIED SIGNS, INC.                           ","SAME                                         ","PATRICK STIEBER                              ","NET 30 DAYS","2252","Ck #1074"
"","","33650 GIFTOS DR                              ","                                             ","Ph : 586-791-7900                            ","","2/6/08","2/19/08"
"","","CLINTON TOWNSHIP, MI 48035-4241              ","                                             ","Fax: 586-791-7788                            ","","","1,115.04"
"","1076","TRAVERS TOOL CO., INC.                       ","TRAVERS TOOL CO., INC.                       ","DANIEL ALLISON                               ","NET 30 DAYS","21722","Ck #1076"
"","","128-15 26TH AVE                              ","PO BOX 36114                                 ","Ph : 800-221-0270                            ","","11/30/22","12/8/22"
"","","FLUSHING, NY 11354-0108                      ","NEWARK, NJ 07188-6114                        ","Fax: 1-800-838-8308                          ","","","101.87"
"","1077","CHARLEY'S GRILLED SUBS                       ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3219"
"","","2500 FARMERS DR                              ","                                             ","                                             ","","","9/13/07"
"","","SUITE 140                                    ","                                             ","                                             ","","","2,500.00"
"","","COLUMBUS, OH 43235                           ","                                             ","                                             ","","",""
"","1078","BUILT RITE SIGNS                             ","SAME                                         ","JIM MCKENZIE                                 ","1% 10th of month net eom","1633","Ck #1078"
"","","1626 1/2 E PASS RD                           ","                                             ","builtritesigns@cableone.net                  ","","3/28/13","1/8/08"
"","","GULFPORT, MS 39507                           ","                                             ","Ph : 228.604.0033                            ","","","1,797.60"
"","","                                             ","                                             ","Fax: 228.604.0035                            ","","",""
"","1079","SELECT SIGN SERVICE                          ","SAME                                         ","select_sign@hotmail.com                      ","NET 30 DAYS","1635","Ck #1079"
"","","4314 CAVALIER DR                             ","                                             ","Ph : 615 494 9200                            ","","9/14/07","10/18/07"
"","","MURFREESBORO, TN 37129                       ","                                             ","Fax: same                                    ","","","170.00"
"","1080","BODIN DESIGN BUILD                           ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3220"
"","","12151 SUNSET TERRACE                         ","                                             ","                                             ","","","9/14/07"
"","","CLIVE, IA 50325                              ","                                             ","                                             ","","","979.20"
"","1081","WHITE CAP                                    ","WHITE CAP                                    ","GILES SMITH                                  ","NET 30 DAYS","25205","Ck #1081"
"","","2205 BELL AVE                                ","PO BOX 4944                                  ","giles.smith@whitecap.com                     ","","6/30/25","6/30/25"
"","","DES MOINES, IA 50321                         ","ORLANDO, FL 32802-4944                       ","Ph : 515-243-6286                            ","","","228.81"
"","","                                             ","                                             ","Fax: 515-243-0363                            ","","",""
"","1082","SUMMA INC.                                   ","SAME                                         ","MORGAN MENDE                                 ","NET 30 DAYS","13680","Ck #15376"
"","","ATTN: MORGAN MENDE                           ","                                             ","Ph : 206-527-1050                            ","","9/17/07","6/8/16"
"","","10001 LAKE CITY WAY NE                       ","                                             ","Fax: 206-527-1046                            ","","","9,499.00"
"","","SEATTLE, WA 98125                            ","                                             ","                                             ","","",""
"","1084","TOWN OF SHEBOYGAN                            ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3224"
"","","3932 SUPERIOR AVE.                           ","                                             ","                                             ","","","9/18/07"
"","","SHEBOYGAN, WI 53081                          ","                                             ","                                             ","","","320.00"
"","1085","LAZER ELECTRIC                               ","SAME                                         ","JEREMY SWANSON                               ","1% 10th of month net eom","7343","Ck #1085"
"","","SUITE 400                                    ","                                             ","Ph : 263 0352                                ","","4/17/12","6/18/12"
"","","2785 NE 46TH AVE.                            ","                                             ","Fax: 309 2515                                ","","","980.00"
"","","DES MOINES, IA 50317                         ","                                             ","                                             ","","",""
"","1086","CITY OF OSCEOLA                              ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #21451"
"","","115 N FILLMORE ST.                           ","                                             ","                                             ","","","1/29/21"
"","","OSCEOLA, IA 50213-1200                       ","                                             ","                                             ","","","15.00"
"","1087","CITY OF ANKENY                               ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #26774"
"","","410 WEST 1ST STREET                          ","                                             ","                                             ","","","6/30/25"
"","","ANKENY, IA 50023                             ","                                             ","                                             ","","","216.00"
"","1088","SIGN WORKS                                   ","SAME                                         ","SARA VANDENBERG                              ","NET 30 DAYS","1766","Ck #1088"
"","","109 E. 5TH STREET                            ","                                             ","Sara@signworksweb.com                        ","","10/10/07","3/17/08"
"","","HANFORD, CA 93230                            ","                                             ","Ph : 559-583-1175                            ","","","2,787.65"
"","","                                             ","                                             ","Fax: 559-583-1824                            ","","",""
"","1089","AIRGAS                                       ","AIRGAS NORTH CENTRAL                         ","                                             ","NET 30 DAYS","1765","Ck #1089"
"","","P O BOX 2395                                 ","P O BOX 2395                                 ","                                             ","","10/10/07","8/5/08"
"","","WATERLOO, IA 50704                           ","WATERLOO, IA 50704                           ","                                             ","","","149.99"
"","1091","FREEBURG SIGN                                ","SAME                                         ","                                             ","1% 10th of month net eom","",""
"","","713 28TH ST                                  ","                                             ","                                             ","","",""
"","","LEWISTON, ID 83501                           ","                                             ","                                             ","","",""
"","1092","CITY OF ATLANTIC                             ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3341"
"","","23 EAST 4TH ST                               ","                                             ","                                             ","","","10/11/07"
"","","ATLANTIC, IA 50022                           ","                                             ","                                             ","","","50.00"
"","1093","ANDY BOTTORFF                                ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3343"
"","","310 EAST BOSTON AVE.                         ","                                             ","                                             ","","","10/11/07"
"","","INDIANOLA, IA 50125                          ","                                             ","                                             ","","","67.80"
"","1095","ANDY NORTHWAY                                ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #1095"
"","","310 SE WANDA DR.                             ","                                             ","                                             ","","","10/25/07"
"","","ANKENY, IA 50021                             ","                                             ","                                             ","","","75.00"
"","1096","SECURITY LOCKSMITHS                          ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #1096"
"","","4410 SE 14TH ST.                             ","                                             ","                                             ","","","4/17/15"
"","","DES MOINES, IA 50320-1642                    ","                                             ","                                             ","","","97.52"
"","1097","CITY OF PERRY                                ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #26649"
"","","1102 WILLIS AVENUE                           ","                                             ","                                             ","","","5/27/25"
"","","PO BOX 545                                   ","                                             ","                                             ","","","65.00"
"","","PERRY, IA 50220-1654                         ","                                             ","                                             ","","",""
"","1098","FELLERS                                      ","SAME                                         ","sales.service@fellers.com                    ","NET 30 DAYS","22298","Ck #1098"
"","","PO BOX 875540                                ","                                             ","Ph : 800-654-8405                            ","","8/7/24","5/18/23"
"","","KANSAS CITY, MO 64187-5540                   ","                                             ","Fax: order on line 05/18/20                  ","","","222.91"
"","1099","CLEAR CHANNEL RADIO                          ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #3390"
"","","2141 GRAND AVE.                              ","                                             ","                                             ","","","10/18/07"
"","","DES MOINES, IA 50321                         ","                                             ","                                             ","","","1,200.00"
"","1100","CAT SCALE                                    ","SAME                                         ","                                             ","NET 30 DAYS","13191","Ck #1100"
"","","515 STERLING DR.                             ","                                             ","                                             ","","2/24/16","8/2/19"
"","","PO BOX 630                                   ","                                             ","                                             ","","","708.00"
"","","WALCOTT, IA 52773                            ","                                             ","                                             ","","",""
"","1101","DOHRN                                        ","SAME                                         ","                                             ","NET 30 DAYS","9866","Ck #1101"
"","","2129 SE HULSIZER RD.                         ","                                             ","                                             ","","1/2/14","1/8/14"
"","","ANKENY, IA 50021-3916                        ","                                             ","                                             ","","","101.84"
"","1102","DIAMOND OIL COMPANY                          ","DIAMOND OIL COMPANY                          ","WES KRAUSE                                   ","NET 30 DAYS","1844","Ck #1102"
