"06 NOV 2025","16:23:27","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/23 through 10/31/24",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",
"SC7801","11/06/23","SRVCE","77950","NAGLE SIGNS  INC.","244.98","233.31","11.67","4.76","4.00","HOUSE","","","","","","506","PIZZA HUT - NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7804","11/20/23","SRVCE","77950","NAGLE SIGNS  INC.","105.00","102.96","2.04","1.94","","HOUSE","","","","","","484","KUM & GO 135 - NAGLE SIGNS","POLK CITY","IA",
"SC7813","12/20/23","SRVCE","77950","NAGLE SIGNS  INC.","140.00","137.28","2.72","1.94","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC7814","11/16/23","SRVCE","4779","EAGLE SIGN CO.","0.00","134.04","-134.04","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"SC7815","12/02/23","SRVCE","77950","NAGLE SIGNS  INC.","945.00","956.77","-11.77","-1.25","","HOUSE","","","","","","476","INLAND TRUCK PARTS & SERVICE","DES MOINES","IA",
"SC7819","11/29/23","SRVCE","77950","NAGLE SIGNS  INC.","166.73","155.10","11.63","6.98","6.00","HOUSE","","","","","","392","TACO JOHN´S","GRINNELL","IA",
"SC7820","01/15/24","SRVCE","77950","NAGLE SIGNS  INC.","665.00","652.08","12.92","1.94","","HOUSE","","","","","","425","FARMERS SAVINGS BANK- NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7821","11/17/23","SRVCE","77950","NAGLE SIGNS  INC.","280.00","274.56","5.44","1.94","","HOUSE","","","","","","465","TOBACCO OUTLET - NAGLE SIGNS","DES MOINES","IA",
"SC7826","11/20/23","SRVCE","77950","NAGLE SIGNS  INC.","344.60","310.44","34.16","9.91","","HOUSE","","","","","","53","KUM & GO #518","ANKENY","IA",
"SC7828","11/20/23","SRVCE","77950","NAGLE SIGNS  INC.","105.00","102.96","2.04","1.94","","HOUSE","","","","","","508","KWIK STAR - NAGLE SIGNS","POLK CITY","IA",
"SC7840","12/07/23","SRVCE","77950","NAGLE SIGNS  INC.","556.16","602.32","-46.16","-8.30","","HOUSE","","","","","","509","KUM & GO","ANKENY","IA",
"SC7840","12/07/23","SRVCE","77950","NAGLE SIGNS  INC.","420.00","343.20","76.80","18.29","","HOUSE","","","","","","509","KUM & GO","ANKENY","IA",
"SC7844","01/10/24","SRVCE","77950","NAGLE SIGNS  INC.","765.80","671.25","94.55","12.35","8.00","HOUSE","","","","","","359","HY-VEE - NAGLE SIGNS","GRINNELL","IA",
"SC7845","02/12/24","SRVCE","77950","NAGLE SIGNS  INC.","365.03","321.60","43.43","11.90","5.00","HOUSE","","","","","","511","ANIMAL MEDICAL CLINIC- NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7859","01/03/24","SRVCE","77950","NAGLE SIGNS  INC.","297.50","291.72","5.78","1.94","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC7860","12/20/23","SRVCE","77950","NAGLE SIGNS  INC.","350.00","325.34","24.66","7.05","","HOUSE","","","","","","11","KUM N GO","DES MOINES","IA",
"SC7861","01/04/24","SRVCE","77950","NAGLE SIGNS  INC.","245.91","225.97","19.94","8.11","4.00","HOUSE","","","","","","512","KFC - TACO BELL- NAGLE","NEWTON","IA",
"SC7867","02/28/24","SRVCE","77950","NAGLE SIGNS  INC.","943.02","912.42","30.60","3.24","","HOUSE","","","","","","513","JIFFY LUBE 2004 - NAGLE","MARSHALLTOWN","IA",
"SC7874","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","572.92","499.07","73.85","12.89","9.00","HOUSE","","","","","","217","TOBACCO OUTLET - NAGLE SIGNS","DES MOINES","IA",
"SC7877","12/31/23","SRVCE","77950","NAGLE SIGNS  INC.","70.00","68.64","1.36","1.94","","HOUSE","","","","","","155","KUM & GO - NAGLE SIGNS","ANKENY","IA",
"SC7879","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","210.00","205.92","4.08","1.94","","HOUSE","","","","","","488","WILLARD´S FURS & FASHIONS - NAGLE","MARSHALLTOWN","IA",
"SC7885","01/10/24","SRVCE","77950","NAGLE SIGNS  INC.","128.42","118.52","9.90","7.71","4.00","HOUSE","","","","","","65","KUM & GO","ADEL","IA",
"SC7887","01/25/24","SRVCE","77950","NAGLE SIGNS  INC.","122.50","120.12","2.38","1.94","","HOUSE","","","","","","41","KUM & GO","DES MOINES","IA",
"SC7891","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","245.00","240.24","4.76","1.94","","HOUSE","","","","","","392","TACO JOHN´S","GRINNELL","IA",
"SC7897","02/05/24","SRVCE","77950","NAGLE SIGNS  INC.","122.50","120.12","2.38","1.94","","HOUSE","","","","","","467","KWIK STAR # 1189- NAGLE SIGNS","DE SOTO","IA",
"SC7907","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","68.64","1.36","1.94","","HOUSE","","","","","","280","MASONIC LODGE","MARSHALLTOWN","IA",
"SC7908","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","17.16","52.84","75.49","","HOUSE","","","","","","515","Kwik Star - NAGLE","ALTOONA","IA",
"SC7909","02/05/24","SRVCE","77950","NAGLE SIGNS  INC.","167.66","159.41","8.25","4.92","","HOUSE","","","","","","516","CHILI´S - NAGLE.","CLIVE","IA",
"SC7912","02/05/24","SRVCE","77950","NAGLE SIGNS  INC.","245.00","240.24","4.76","1.94","","HOUSE","","","","","","234","LOVE´S #411 - NAGLE SIGNS","DES MOINES","IA",
"SC7913","01/31/24","SRVCE","77950","NAGLE SIGNS  INC.","87.50","85.80","1.70","1.94","","HOUSE","","","","","","517","UNITY POINT SOUTH CAMPUS - NAGLE","MARSHALLTOWN","IA",
"SC7915","02/06/24","SRVCE","77950","NAGLE SIGNS  INC.","122.50","120.12","2.38","1.94","","HOUSE","","","","","","518","DOOR DOCTOR - NAGLE","GRINNELL","IA",
"SC7916","02/06/24","SRVCE","77950","NAGLE SIGNS  INC.","122.50","120.12","2.38","1.94","","HOUSE","","","","","","461","KWIK STAR # 1068","STORY CITY","IA",
"SC7918","02/29/24","SRVCE","77950","NAGLE SIGNS  INC.","192.50","188.76","3.74","1.94","","HOUSE","","","","","","507","FARMERS SAVINGS BANK - NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7919","02/12/24","SRVCE","77950","NAGLE SIGNS  INC.","259.78","229.94","29.84","11.49","","HOUSE","","","","","","388","ARNOLD MOTOR SUPPLY - NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7922","02/09/24","SRVCE","77950","NAGLE SIGNS  INC.","87.50","85.80","1.70","1.94","","HOUSE","","","","","","234","LOVE´S #411 - NAGLE SIGNS","DES MOINES","IA",
"SC7930","03/22/24","SRVCE","77950","NAGLE SIGNS  INC.","140.00","137.28","2.72","1.94","","HOUSE","","","","","","520","ROCK ISLAND INN-NAGLE SIGNS","MARSHALLTO","IA",
"SC7933","03/06/24","SRVCE","77950","NAGLE SIGNS  INC.","192.50","188.76","3.74","1.94","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC7935","02/21/24","SRVCE","77950","NAGLE SIGNS  INC.","105.00","102.96","2.04","1.94","","HOUSE","","","","","","65","KUM & GO","ADEL","IA",
"SC7936","02/22/24","SRVCE","77950","NAGLE SIGNS  INC.","186.00","170.92","15.08","8.11","","HOUSE","","","","","","521","TAYLOR´S MAID RITE-NAGLE","MARSHALLTOWN","IA",
"SC7942","02/29/24","SRVCE","77950","NAGLE SIGNS  INC.","475.53","412.03","63.50","13.35","","HOUSE","","","","","","522","CENTRAL IOWA MACHINE-NAGLE","MARSHALLTOWN","IA",
"SC7946","02/26/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","51.48","18.52","26.46","","HOUSE","","","","","","465","TOBACCO OUTLET - NAGLE SIGNS","DES MOINES","IA",
"SC7949","03/14/24","SRVCE","77950","NAGLE SIGNS  INC.","210.00","205.92","4.08","1.94","","HOUSE","","","","","","94","KUM & GO # 4098","WINDSOR HEIGHTS","IA",
"SC7952","07/11/24","SRVCE","77950","NAGLE SIGNS  INC.","955.00","848.63","106.37","11.14","","HOUSE","","","","","","234","LOVE´S #411 - NAGLE SIGNS","DES MOINES","IA",
"SC7954","03/28/24","SRVCE","77950","NAGLE SIGNS  INC.","227.50","212.89","14.61","6.42","","HOUSE","","","","","","163","KUM & GO - NAGLE SIGNS","WAUKEE","IA",
"SC7956","03/12/24","SRVCE","77950","NAGLE SIGNS  INC.","280.00","274.56","5.44","1.94","","HOUSE","","","","","","35","KUM & GO #510","STUART","IA",
"SC7958","03/06/24","SRVCE","77950","NAGLE SIGNS  INC.","227.50","223.08","4.42","1.94","","HOUSE","","","","","","524","ADVANTAGE CREDIT UNION-NAGLE","NEWTON","IA",
"SC7965","03/14/24","SRVCE","77950","NAGLE SIGNS  INC.","140.00","137.28","2.72","1.94","","HOUSE","","","","","","464","LINCOLN VALLEY GOLF COURSE - NAGLE SIGNS","STATE CENTER","IA",
"SC7973","03/21/24","SRVCE","77950","NAGLE SIGNS  INC.","189.25","179.84","9.41","4.97","","HOUSE","","","","","","380","KWIK STAR # 1001","NEWTON","IA",
"SC7975","03/20/24","SRVCE","77950","NAGLE SIGNS  INC.","140.00","137.28","2.72","1.94","","HOUSE","","","","","","145","KUM & GO - NAGLE SIGNS","BEVINGTON","IA",
"SC7979","03/27/24","SRVCE","77950","NAGLE SIGNS  INC.","227.50","223.08","4.42","1.94","","HOUSE","","","","","","419","MARSHALLTOWN ARTS & CIVIC CENTER - NAGLE SGINS","MARSHALLTOWN","IA",
"SC7980","03/22/24","SRVCE","77950","NAGLE SIGNS  INC.","105.00","102.96","2.04","1.94","","HOUSE","","","","","","300","LEGENDS AMERICAN GRILL - NAGLE SIGNS","MARSHALLTOWN","IA",
"SC7981","03/29/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","68.64","1.36","1.94","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC7982","04/30/24","SRVCE","77950","NAGLE SIGNS  INC.","875.00","790.95","84.05","9.61","","HOUSE","","","","","","102","KUM & GO- NAGLE SIGNS","LAMONI","IA",
"SC7983","03/27/24","SRVCE","77950","NAGLE SIGNS  INC.","203.50","188.08","15.42","7.58","","HOUSE","","","","","","380","KWIK STAR # 1001","NEWTON","IA",
"SC7984","03/29/24","SRVCE","77950","NAGLE SIGNS  INC.","192.50","188.76","3.74","1.94","","HOUSE","","","","","","177","KUM & GO - NAGLE SIGNS","JOHNSTON","IA",
"SC7989","04/19/24","SRVCE","77950","NAGLE SIGNS  INC.","280.00","261.69","18.31","6.54","","HOUSE","","","","","","11","KUM N GO","DES MOINES","IA",
"SC7991","03/29/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","51.48","18.52","26.46","","HOUSE","","","","","","92","KUM & GO","DES MOINES","IA",
"SC7993","04/09/24","SRVCE","77950","NAGLE SIGNS  INC.","175.00","171.60","3.40","1.94","","HOUSE","","","","","","525","IOWA NATIONAL GUARD- NAGLE","MARSHALLTOWN","IA",
"SC8003","04/11/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","51.48","18.52","26.46","","HOUSE","","","","","","154","KUM & GO 121","URBANDALE","IA",
"SC8015","04/18/24","SRVCE","77950","NAGLE SIGNS  INC.","70.00","68.64","1.36","1.94","","HOUSE","","","","","","11","KUM N GO","DES MOINES","IA",
"SC8020","05/21/24","SRVCE","77950","NAGLE SIGNS  INC.","542.50","531.96","10.54","1.94","","HOUSE","","","","","","526","KUM & GO- NAGLE","HUXLEY","IA",
"SC8023","05/28/24","SRVCE","77950","NAGLE SIGNS  INC.","835.00","813.32","21.68","2.60","","HOUSE","","","","","","55","MILLS FLEET FARM","ANKENY","IA",
"SC8027","05/14/24","SRVCE","77950","NAGLE SIGNS  INC.","385.00","377.52","7.48","1.94","","HOUSE","","","","","","527","6TH STREET AUTO SALES-NAGLE","MARSHALLTOWN","IA",
"SC8037","06/05/24","SRVCE","77950","NAGLE SIGNS  INC.","280.00","274.56","5.44","1.94","","HOUSE","","","","","","10","KUM & GO","DESOTO","IA",
"SC8040","05/23/24","SRVCE","77950","NAGLE SIGNS  INC.","105.00","85.80","19.20","18.29","","HOUSE","","","","","","214","KWIK STAR","GRIMES","IA",
"SC8048","05/31/24","SRVCE","77950","NAGLE SIGNS  INC.","192.50","188.76","3.74","1.94","","HOUSE","","","","","","53","KUM & GO #518","ANKENY","IA",
"SC8055","06/11/24","SRVCE","77950","NAGLE SIGNS  INC.","192.50","188.76","3.74","1.94","","HOUSE","","","","","","520","ROCK ISLAND INN-NAGLE SIGNS","MARSHALLTOWN","IA",
"SC8060","06/15/24","SRVCE","77950","NAGLE SIGNS  INC.","455.00","446.16","8.84","1.94","","HOUSE","","","","","","528","MCDONALDS-NAGLE SIGNS","WEBSTER CITY","IA",
"SC8063","06/15/24","SRVCE","77950","NAGLE SIGNS  INC.","175.00","171.60","3.40","1.94","","HOUSE","","","","","","428","KUM & GO # 46 - NAGLE SIGNS","WALNUT","IA",
"SC8068","08/05/24","SRVCE","77950","NAGLE SIGNS  INC.","157.50","154.44","3.06","1.94","","HOUSE","","","","","","214","KWIK STAR","GRIMES","IA",
"SC8069","07/08/24","SRVCE","77950","NAGLE SIGNS  INC.","227.50","223.08","4.42","1.94","","HOUSE","","","","","","291","KWIK STAR- NAGLE SIGNS","ALTOONA","IA",
"SC8075","07/08/24","SRVCE","77950","NAGLE SIGNS  INC.","240.65","226.35","14.30","5.94","","HOUSE","","","","","","16","FLOWERAMA","DES MOINES","IA",
"SC8083","07/10/24","SRVCE","77950","NAGLE SIGNS  INC.","140.00","137.28","2.72","1.94","","HOUSE","","","","","","427","PET SUPPLIES PLUS - NAGLE SIGNS","AMES","IA",
"SC8088","07/15/24","SRVCE","77950","NAGLE SIGNS  INC.","177.44","134.69","42.75","24.09","","HOUSE","","","","","","523","STOP N GO-NAGLE","DES MOINES","IA",
"SC8090","07/23/24","SRVCE","77950","NAGLE SIGNS  INC.","157.50","154.44","3.06","1.94","","HOUSE","","","","","","92","KUM & GO","DES MOINES","IA",
